               age010              age020              age030              age040               age050               age060               age070               age080               age090              age100              age110              age120               age130               age140               age150              
Boreal         0.303038266258973   0.251691350832443   0.188264532878245   0.173152099207513    0.163490298325902    0.151728279923834    0.143926801696391    0.259208063063765    0.383357346148083   0.363761254350973   0.269830350689193   0.230674352216154    0.168020948298845    0.140764372850604    1.69509986691121    
Desert         0.00515283356395199 0.00168284428095216 0.00168284428095216 0.00161366832626082  0.00120823134133167  0.00119277542596517  0.00119277542596517  0.00119277542596517  0.00119277542596517 0.00119277542596517 0.00117777392975247 0.000882438496009236 0.000989982845948343 0.000339920337183981 0.0106598726484066  
DesertCold     0.0165487737981992  0.0142195510215493  0.0101200916478958  0.00974626623755786  0.00929489160525937  0.00872285276405646  0.00811836461474318  0.00899292435830665  0.0131792339118855  0.00876007667178744 0.00527090222292378 0.0087093162858462   0.00735377010053835  0.00328005485864918  0.0362260514684093  
Semiarid       0.00176432871475381 0.00176432871475381 0.00107636631452015 9.82081996289856e-05 9.82081996289856e-05 9.82081996289856e-05 9.82081996289856e-05 3.81198944011343e-05 0                   0                   0                   0                    0                    0                    0.000347087266248695
TemperateDry   0.11352974397946    0.0417981522074456  0.0334686133823348  0.0282522570268579   0.0258664123748633   0.0242892634172764   0.0211975806142888   0.024947750608195    0.0211731911023026  0.0188978095496768  0.0202535933678555  0.013703178706651    0.0127750011562209   0.00816418758024523  0.0627506452902172  
TemperateHumid 0.579677255429199   0.242166757690265   0.214315811784138   0.186430959321775    0.162231897255015    0.139842439352094    0.11955860847771     0.156051595288195    0.166763647339975   0.123625549660355   0.108345850058053   0.10748099147776     0.0711418015877748   0.0644512406699799   1.10998974647711    
TropicalDry    0.432169627336617   0.228298405439311   0.14706035477931    0.0926885780282448   0.0654965816983019   0.0388768027224882   0.0207971670339559   0.0162603222552823   0.014662653614467   0.0102659434594521  0.00614642405290966 0.00388150347271432  0.00169363397462031  0.00180626218297358  0.00994621037342529 
TropicalHumid  0.636198616606078   0.405339978838299   0.260270321081818   0.16931953585806     0.118151566178495    0.0792557573732625   0.0531478851885148   0.0415446545935327   0.0469993716570057  0.0244099246243238  0.0207776422862411  0.0138758096629879   0.0172356727583553   0.00961426609764814  0.0563671362099653  
Tundra         0.256144484671256   0.207006671163063   0.166824778736738   0.150855807205916    0.133501076647281    0.119098846839228    0.106620494455883    0.185056638300076    0.237005807081424   0.167043224825876   0.105382646376607   0.15959301775372     0.06637328188924     0.056973831577313    0.433497736042639   
Unproductive   0.0383653906564281  0.0182414420985159  0.0135523523281234  0.011067173557187    0.00968896261847738  0.00846328723645547  0.00694004316822798  0.0270953095841482   0.0293531413783291  0.0132796051051582  0.0176902967997075  0.0106732201467271   0.0104946583898992   0.0139292831465992   0.0879348313233682  
