               crops              pastr             primf               primn             secdf               secdn              urban               
Boreal         1.5301861883298    1.91237613167015  3.16779201796884    1.09096016978881  4.88600818365212    0.462044946569596  0.0338669241729285  
Desert         1.25824849845555   9.69824654810687  0.0118066380736568  8.09678928623932  0.0313542871805753  9.2285686083705    0.0517855185954916  
DesertCold     0.715631239785119  2.99725519308271  0.239947480866481   0.995922581352723 0.168543121567608   0.346269891164428  0.00508994228569445 
Semiarid       0.357089652826125  1.91364729779028  0.00132510908872879 1.00178994196069  0.00538306370319354 0.988079229866449  0.00810484154697114 
TemperateDry   3.60645734755225   3.23329970591022  0.0537251975443393  1.57300243396891  0.471067380363891   1.63303229246419   0.115644135228971   
TemperateHumid 3.0104614803925    2.42102211807448  0.958456712511383   0.975626812977211 3.55207415186939    0.83716183989552   0.233081788486193   
TropicalDry    3.61227090281669   6.2871368198398   2.59897920981756    4.37615675973649  1.09005047042407    1.77027087676633   0.0812789532717453  
TropicalHumid  1.65750282248897   1.86412104697779  7.84957732071211    0.412811600081544 1.95250813901459    0.228457777256526  0.061079351094632   
Tundra         0.0468939985861627 0.615911246394437 4.79648380089901    1.30693079020279  2.55097834356626    0.0418548555365286 0.00107539162828354 
Unproductive   0.0115134921351505 1.33396106546209  1.58265330867072    6.35743825842622  0.316768997537352   0.0530695097449282 0.000333052274925647
