     co2ppm       DeltaT
1850 284.72501    0.16221125708249
1851 284.87500    0.325662099856771
1852 285.00000    0.219737619305453
1853 285.12500    0.299187162621524
1854 285.27499    0.231346575013518
1855 285.42499    -0.00331429380266179
1856 285.57501    -0.0533854939952487
1857 285.72501    0.0751747368908298
1858 285.89999    -0.0419405369716346
1859 286.07501    0.234933476059139
1860 286.22501    0.074767101608054
1861 286.37500    0.522847498025532
1862 286.50000    0.238698378721676
1863 286.62500    0.0648547162349713
1864 286.77499    0.0579153438707944
1865 286.89999    -0.013466209723382
1866 287.00000    0.139843447017486
1867 287.10001    0.180074259869387
1868 287.22501    -0.0471767524885598
1869 287.37500    0.142890705654005
1870 287.52499    0.00426502953545338
1871 287.70001    0.148696012137626
1872 287.89999    0.201385796162915
1873 288.12500    0.205060477596583
1874 288.39999    0.0229652669137268
1875 288.70001    0.0837906148906651
1876 289.02499    -0.0366605058047664
1877 289.39999    -0.154009937039854
1878 289.79999    0.166931666827712
1879 290.22501    0.0278739921554108
1880 290.70001    0.1258
1881 291.20001    0.1658
1882 291.67499    0.1458
1883 292.12500    0.0658
1884 292.57501    -0.0242
1885 292.97501    -0.0042
1886 293.29999    0.0058
1887 293.57501    -0.0442
1888 293.79999    0.1158
1889 294.00000    0.1558
1890 294.17499    -0.0942
1891 294.32501    -0.0142
1892 294.47501    -0.0642
1893 294.60001    -0.0842
1894 294.70001    -0.0642
1895 294.79999    0.0058
1896 294.89999    0.1558
1897 295.02499    0.1458
1898 295.22501    -0.0242
1899 295.50000    0.0858
1900 295.79999    0.1658
1901 296.12500    0.0958
1902 296.47501    -0.0142
1903 296.82501    -0.1242
1904 297.20001    -0.2142
1905 297.62500    -0.0342
1906 298.07501    0.0358
1907 298.50000    -0.1342
1908 298.89999    -0.1842
1909 299.29999    -0.1942
1910 299.70001    -0.1542
1911 300.07501    -0.1942
1912 300.42499    -0.0942
1913 300.77499    -0.0742
1914 301.10001    0.1058
1915 301.39999    0.1458
1916 301.72501    -0.0742
1917 302.07501    -0.1442
1918 302.39999    -0.0642
1919 302.70001    -0.0042
1920 303.02499    0.0158
1921 303.39999    0.0858
1922 303.77499    -0.0042
1923 304.12500    -0.0042
1924 304.52499    0.0058
1925 304.97501    0.0658
1926 305.39999    0.1758
1927 305.82501    0.0758
1928 306.29999    0.0658
1929 306.77499    -0.0842
1930 307.22501    0.1358
1931 307.70001    0.1858
1932 308.17499    0.1158
1933 308.60001    -0.0142
1934 309.00000    0.1358
1935 309.39999    0.0858
1936 309.75000    0.1258
1937 310.00000    0.2358
1938 310.17499    0.2258
1939 310.29999    0.2558
1940 310.37500    0.4058
1941 310.37500    0.5158
1942 310.29999    0.3558
1943 310.20001    0.3558
1944 310.12500    0.5258
1945 310.10001    0.4258
1946 310.12500    0.2358
1947 310.20001    0.2058
1948 310.32501    0.1958
1949 310.50000    0.1658
1950 310.75000    0.0958
1951 311.10001    0.2458
1952 311.50000    0.2858
1953 311.92499    0.3758
1954 312.42499    0.1458
1955 313.00000    0.1158
1956 313.60001    0.0658
1957 314.22501    0.3158
1958 314.84750    0.3658
1959 315.50000    0.3258
1960 316.27249    0.2958
1961 317.07501    0.3458
1962 317.79501    0.3558
1963 318.39749    0.3658
1964 318.92499    0.1058
1965 319.64749    0.1758
1966 320.64749    0.2358
1967 321.60501    0.2458
1968 322.63501    0.2158
1969 323.90250    0.3558
1970 324.98499    0.3058
1971 325.85501    0.1758
1972 327.14001    0.2858
1973 328.67749    0.4358
1974 329.74249    0.1858
1975 330.58499    0.2558
1976 331.74750    0.1758
1977 333.27249    0.4558
1978 334.84750    0.3658
1979 336.52499    0.4758
1980 338.35999    0.5258
1981 339.72751    0.5758
1982 340.79251    0.4358
1983 342.19751    0.6058
1984 343.78250    0.4158
1985 345.28250    0.4058
1986 346.79749    0.4858
1987 348.64499    0.6358
1988 350.73749    0.6358
1989 352.48749    0.5458
1990 353.85501    0.6958
1991 355.01749    0.6358
1992 355.88501    0.4858
1993 356.77750    0.5258
1994 358.12750    0.5958
1995 359.83749    0.7158
1996 361.46249    0.5658
1997 363.15500    0.7658
1998 365.32251    0.8958
1999 367.34750    0.6858
2000 368.86499    0.6658
2001 370.46750    0.8158
2002 372.52249    0.8658
2003 374.76001    0.8858
2004 376.81250    0.8258
2005 378.81250    0.9158
2006 380.82751    0.8758
2007 382.77750    0.8658
2008 384.79999    0.7858
2009 386.95160    0.8858
2010 389.12784    0.9658
2011 391.27356    0.8158
2012 393.42111    0.8858
2013 395.58282    0.9158
2014 397.76407    0.9858
2015 399.96631    1.1758
2016 402.18433    1.2358
2017 404.41077    1.1558
2018 406.64291    1.0658
2019 408.88171    1.1958
