               litt_atm             litt_tmp            litt_soil           soil_atm             soil_tmp              error           
Tundra         1.13767738235894e-13 0.0405743365114956  0.00286536193284654 5.96519433144075e-15 1.11648674607669e-05  8.62582184181392
Boreal         0.0643794826938942   0.0533700428565206  0.00412160599904292 4.35281692048258e-16 1.22682525646686e-05  23.9297688153696
DesertCold     0.213387837969716    0.0369603516019892  0.0114725830425327  3.72896352426574e-16 3.11844006949205e-05  19.6013488997316
TemperateDry   0.697130363166472    0.0170899243515701  0.0128480924192996  0                    6.51237304943357e-05  8.47135543713784
TemperateHumid 0.629797575199897    0.0242534453734992  0.00586406345535769 1.16881080877169e-15 2.98750332879466e-05  25.9510233663957
Desert         0.389681822882653    0.00928390658692517 0.00771929446053623 0                    4.35720358052336e-05  21.3583472201508
Semiarid       0.680225464991057    0.00559950641626392 0.00438517145575676 4.99389864430827e-15 2.3715260339107e-05   45.9651318926903
TropicalDry    0.843726414680246    0.00709073177996224 0.00379538164324581 4.95160307870474e-15 2.63723865549804e-05  25.2036664285463
TropicalHumid  0.765987319869321    0.0153751423533655  0.00264146799625666 7.29112651505402e-17 1.91902761248798e-05  51.8198560751378
Unproductive   0                    0.0211047387694734  0.0123765689755504  0.00122443755162423  -7.56718774611521e-05 39.9526899656772
