               const                tmp                  ppm                 
Tundra         -0.261598142603733   0.01900307798697     0.000659775839649199
Boreal         -0.268498950143337   0.0212862298572171   0.0009099170387728  
DesertCold     -0.202632985117406   0.0105959968300179   0.000782006669699795
TemperateDry   -0.0357969497390721  0.000964334933543461 0.000979910263842616
TemperateHumid 0.0254917648909049   0.00217185672839361  0.00107690731431409 
Desert         0.0452864508988326   -0.00340254637117868 0.000455269583209416
Semiarid       -0.0122968931763907  0.00297262167097984  0.00060301562124996 
TropicalDry    0.00197685879986267  -0.00476645314849168 0.000984580423358384
TropicalHumid  -0.00363918241403149 -0.0102803812807428  0.00109901100008156 
Unproductive   -0.193895881816382   0.0151484819256208   0.000411344223530974
