               const                 tmp                   ppm                  
Tundra         -0.00535457915710627  0.00101958193278726   6.71596259356571e-08 
Boreal         -0.00812888944190035  0.00173966449081909   8.0823619297019e-06  
DesertCold     -0.000769646109357568 0.00145107775845423   -7.34969197135212e-06
TemperateDry   0.0349033397490008    0.00108615507940494   0.00019837756264858  
TemperateHumid 0.0389962705232236    0.000780483238209916  0.000115397470918554 
Desert         0.0479305558546473    -0.000702165288930818 0.000193211188963018 
Semiarid       0.0497583562780466    -0.000353320980732499 0.000286715447316001 
TropicalDry    0.0205332100620752    -0.000972371602204186 0.000303670882701836 
TropicalHumid  0.0451692399853452    -9.00916400586076e-05 0.000274624744142268 
Unproductive   -0.00346819046797016  0.000646658014104502  6.50686720569469e-06 
