               const                tmp                  ppm                 
Tundra         -0.259127805188061   0.0191831577970352   0.000655016605732632
Boreal         -0.273758981762469   0.0218884248835669   0.000906774614601252
DesertCold     -0.206653251265509   0.0108862304710438   0.000796933102801383
TemperateDry   -0.0450483298153041  0.00227346940705927  0.000978978297209625
TemperateHumid 0.0110387289528721   0.00360258088187896  0.00106789077490693 
Desert         0.0339306563623177   -0.00266775287689684 0.000474350880425477
Semiarid       -0.00980244585830557 0.00276858831441938  0.000601549824148343
TropicalDry    0.00237130530847685  -0.00476443582369703 0.000983277765469484
TropicalHumid  -0.00137078217307057 -0.010317205936336   0.00109560593678738 
Unproductive   -0.196396286014289   0.0154268287276902   0.000413911796667489
