               const                tmp                   ppm                  
Tundra         -0.00130560012937673 0.000155025868742447  2.11196979336442e-06 
Boreal         -0.00101727504408878 0.000166479884427742  2.5991285806281e-06  
DesertCold     -0.00919254030446149 0.00118258360195096   4.94831845321804e-05 
TemperateDry   0.0128058360431654   -0.00035782733955444  -1.02553349230604e-05
TemperateHumid 0.00350514266682277  -0.000112452035986017 -2.74436706860454e-06
Desert         -0.00784136491997741 0.0013630444158181    6.66511344871079e-05 
Semiarid       0.196472110283463    -0.00703180601774943  -5.5503781650475e-05 
TropicalDry    0.0107756265789119   0.00215605850024738   -2.07378334118456e-05
TropicalHumid  0.00115275681664859  0.000909324036001383  -3.81184184970804e-06
Unproductive   -0.00054273821757115 5.90228077805038e-05  6.85020286903058e-09 
