               d                  dd                  const               temp                  co2ppm                temp2                 co2temp2              error           
Tundra         -0.625560213494355 -0.132603511849004  -0.0439790616720296 0.00808521730709791   3.93269357333529e-05  -0.000634569087823213 1.55644591351896e-06  121.355346443642
Boreal         -0.936224555182626 -0.0521061768654917 -0.229917474668098  0.0179498292747207    0.000672400972156561  -0.000496324260840566 -1.04033696633036e-06 192.054086896464
DesertCold     -1.03150451168659  -0.0875474011543609 -0.0788262205274165 -0.000896586425965928 0.000445302548999398  1.23941475161655e-05  -9.47548496786879e-08 86.7699574973446
TemperateDry   -1.48798678019298  -0.0219562749962504 0.387484234564124   -0.0877496056585404   0.000664144328224926  0.00390375925133868   -1.57959293535509e-06 98.3208605830735
TemperateHumid -1.3333984332689   -0.0237538824533571 0.421659763793154   -0.117958291524836    0.0014646560838756    0.00569519667964884   -4.32817756434419e-06 266.91642092304 
Desert         -1.44953533312761  -0.137998672934447  0.0520356716438632  -0.0115722418703427   8.15396460758873e-05  0.000475455765021808  -3.49172124767856e-08 7.33436808874334
Semiarid       -2.95378530643254  0.225297556438744   -1.32430443005675   0.201508666293009     0.000843423774585914  -0.0092763506560567   7.46584416550533e-07  927.661532438872
TropicalDry    -1.42573794731907  0.0148745544442207  0.337330607805509   -0.0742479263914824   0.00108479567477089   0.00240497824206203   -5.27191985331422e-09 1142.45877100862
TropicalHumid  -1.17417140548211  0.0055040484925104  0.814911914043485   -0.14852882814433     0.00106516554310751   0.00568155652725965   -7.77547723463897e-07 3500.26274606067
Unproductive   3.87582277249786   1.00813876966199    -15.8071897334816   -1.7304092939528      -0.000875692739187473 0.359616433122254     1.6018105257601e-05   1084.54110281748
