               const              cveg               
Tundra         0.227756946105477  0.0399570084698566 
Boreal         0.310086398029474  0.0190731649670104 
DesertCold     0.223564919045495  0.0223600753363194 
TemperateDry   0.261013093828142  0.0132183513696917 
TemperateHumid 0.374804781506558  0.00436352292356998
Desert         0.103065542827255  0.034116504847755  
Semiarid       0.277950598843881  0.0214468494887301 
TropicalDry    0.579866729620475  0.00960903714095741
TropicalHumid  0.774497840102208  0.00180827605407254
Unproductive   0.0906134495052272 0.13650522550336   
