               harv               litt_atm            litt_tmp             litt_soil           soil_atm             soil_tmp             
Tundra         0.0919664315089864 0                   0.0088378160159271  0.0113535527739758  0.000616334480197271  9.82102201676643e-05
Boreal         0.111859741455155  0.0256877251920877  0.00546627626252526 0.00479378415712519 9.79465504914106e-07  0.000120389881105517
DesertCold     0.202182450072212  0.0327834813703448  0.00519254510088587 0.00801577435816462 0.00112788804616691   5.05315534335276e-05
TemperateDry   0.29610556251765   0.109455589839357   0.00704130065175236 0.0102008632088763  0.00263342377120877   1.03308232826981e-05
TemperateHumid 0.597784210259388  0.0979809897197165  0.00610864243048961 0.00890663575782047 0.00259269372589627   3.36154574272341e-05
Desert         0.256094169566165  0.0569419838465307  0.00844578654395187 0.0105278212550115  0.00264297160653573  -2.73819191078794e-05 
Semiarid       0.83362144467653   0.231770711079987   0.0108684568408779  0.0158528997826006  0.00259834207708044  -1.3023685287416e-05  
TropicalDry    0.499792500058078  0.183857329973188   0.00706787661242088 0.00997722125605274 0.00363016027951794  -5.15619751464481e-06 
TropicalHumid  0.371309936747135  0.131121654747867   0.0143100395578193  0.00864854472035765 0.00424750526206196  -8.59219697280177e-05 
Unproductive   0.230627263667311  0.00443189283860025 0.00990413983141491 0.018530589260689   0.000568490518455875  0.000101996587584885
