               const                 tmp                  ppm                 
Tundra         -0.104831789327665    0.0259294840823619   0.000118330849730705
Boreal         -0.0083949185431191   0.0189642050297548   0.000457793668279662
DesertCold     -0.0691209030125677   0.0123080301190513   0.000541940876744346
TemperateDry   0.16462231403253      -0.00550999206743656 0.000710475135079593
TemperateHumid 0.301195664647376     -0.0123397137755445  0.000913931894914977
Desert         -7.68163732188879e-06 0.00156991179206126  0.000374609212453172
Semiarid       0.122142775028805     0.0120146234119675   0.000563977108340413
TropicalDry    0.744189828316063     0.00396810925480632  0.000313318770931237
TropicalHumid  0.986292316270863     0.0014040618958188   0.000218743848652663
Unproductive   -0.10764147385942     0.0173625191646999   4.00183884916968e-05
