               const                tmp                  ppm                 
Tundra         -0.118267259776709   0.0296149093457173   0.00014336667114737 
Boreal         -0.00465374011799551 0.0211237258680507   0.000534595851307224
DesertCold     -0.0743985805920365  0.0136504048707361   0.000631705860601347
TemperateDry   0.185064219477948    -0.00577085056275351 0.000819830439437523
TemperateHumid 0.339493091150006    -0.0136138088317343  0.00104185620971867 
Desert         -0.00717523718760496 0.00250792094932854  0.000442347610674595
Semiarid       0.145264176797653    0.0141241329287408   0.000677172646348393
TropicalDry    0.870123664510322    0.0046142790263341   0.000374685624702296
TropicalHumid  1.16328316400781     0.000423404217713436 0.000272106951422875
Unproductive   -0.124711733244079   0.0201022331146243   4.90862091315055e-05
