               litter            soil            
Boreal         0.726250296400109 9.53629781719478
Desert         0.21831516717167  2.21388992084235
DesertCold     0.660684165688707 8.54972298996901
Semiarid       0.262333028499741 4.35225382118597
TemperateDry   0.306855614353566 4.31140177843078
TemperateHumid 0.367828430561196 4.86053832745859
TropicalDry    0.46712799542111  5.2281293209788 
TropicalHumid  0.647156678362391 5.59973677110381
Tundra         0.437530757995236 5.55469598427941
Unproductive   0.145607397839818 1.73048119523152
