               litter            soil            
Boreal         0.966586962498045 13.1620744861644
Desert         0.350716005218563 3.11970374017647
DesertCold     0.866224835748304 11.002744333418 
Semiarid       0.600137494899193 6.22405908235394
TemperateDry   0.505959458433518 6.48319384173568
TemperateHumid 0.622403276993042 8.50892579812312
TropicalDry    1.17656985815812  9.19799888553487
TropicalHumid  1.57716295541455  8.88921751376753
Tundra         0.395889652574104 6.57640576450562
Unproductive   0.10238357716931  1.00798619587808
