               litt_atm             litt_tmp             litt_soil            soil_atm             soil_tmp              error           
Tundra         0                    0.0293634520037182  0.00752133829623318  0.000314340098806234 -7.55582840715389e-06  12.769042405653 
Boreal         0.122974084078369    0.0378038091847535  0.0107859851006921   8.7414103535029e-15   3.79144763357858e-05 10.8424448461759
DesertCold     0.248696104055283    0.0299594148855087  0.029239901319613    0.000432406780337871  5.21562847417922e-05 18.1425592061645
TemperateDry   0.696250117207638    0.0129321989697221  0.0138039423974127   0                     7.38591670187933e-05 18.3555488918078
TemperateHumid 0.689723198568027    0.0218466521751963  0.0135412291242788   1.30397334936486e-15  7.08559169174034e-05 12.4676251149496
Desert         0.367142064015926    0.0111652896205125  0.002960504858425    0                     1.04519081833813e-05 43.6430346195253
Semiarid       0.712211341260334    0.00700799643438287 0.000966415006366657 1.44415971574465e-15 -9.45693157403417e-07  93.1231592167372
TropicalDry    0.81544126221823     0.0088706585244618  0.00115756035679992  3.95963135928907e-16  8.44399524506519e-06 56.9044012993712
TropicalHumid  0.770666141852661    0.0126551629489181  0.00130546050904464  3.9348875178178e-17   9.33929806478054e-06 83.5161243579568
Unproductive   6.89241178133058e-13 0.0160795476022484  0.00440613775310687  1.72222800816728e-15  3.19301364816639e-05 19.9046442828169
