               const               tmp                  ppm                 
Tundra         -0.137081792146543  0.0152630621549441   0.000311314459733791
Boreal         -0.244071693402958  0.0254267990293852   0.000616885878104676
DesertCold     -0.148249909950299  0.00979554020784845  0.000602375862146029
TemperateDry   -0.072786131795654  0.00725418834691244  0.000947052366240182
TemperateHumid 0.0703625386197161  0.00289470862293519  0.000990811470289342
Desert         0.0893484673425886  -0.00427452044378086 0.000376674186063097
Semiarid       -0.110238896876134  0.0104254193240345   0.000549340442420005
TropicalDry    -0.039510424305362  -0.00166481064374112 0.00103547581464777 
TropicalHumid  -0.0154689595173622 -0.00968155644674191 0.00121826122855741 
Unproductive   -0.0590313372968655 0.0114454631082485   0.000182403467164796
