               const                tmp                   ppm                  
Tundra         -0.00150963929095933 0.000682154058778441  2.66282476207258e-07 
Boreal         -0.00267818894902012 0.00137737784067619   3.59483950601165e-07 
DesertCold     -0.00106737919422518 0.00194224519298397   -8.65735517739438e-06
TemperateDry   0.0684876007667457   -0.00111065222939519  0.000180796231124763 
TemperateHumid 0.0658131967481323   -0.000486304696772064 0.000104263360814771 
Desert         0.0411079629726909   0.000771289774077769  0.000167465677351928 
Semiarid       0.0384252565464449   0.000416470300858845  0.00028880458887393  
TropicalDry    0.00285329131141981  0.00169372852990715   0.000237474945033131 
TropicalHumid  0.0132270149159986   0.00207310701119487   0.000276705607717045 
Unproductive   0.00442155286159089  -2.00703866867369e-05 1.593075733773e-06   
