               const               tmp                  ppm                 
Tundra         -0.141449043097545  0.0160103388280283   0.00030869165714869 
Boreal         -0.253858391055783  0.026588723149169    0.000606507491865339
DesertCold     -0.151365210660498  0.00995685828003279  0.000613679458334123
TemperateDry   -0.084121010380202  0.0088958417528835   0.000938719776891373
TemperateHumid 0.0490920309517148  0.00507110332278543  0.000979970231741163
Desert         0.0748380772060356  -0.00320933073472159 0.000399653201024125
Semiarid       -0.109453717083935  0.0103155880148931   0.000546697101482603
TropicalDry    -0.0392726513543672 -0.00165497305832279 0.00103428598535745 
TropicalHumid  -0.0136089052128683 -0.0097025758214791  0.00121469406983919 
Unproductive   -0.0675255357851767 0.0122759821331694   0.000184790729463522
