               const                 tmp                   ppm                  
Tundra         -0.00157457576778736  0.000168702645731312  1.09457581261858e-06 
Boreal         -0.00114133063992963  0.00020115669793191   2.35606658759071e-06 
DesertCold     -0.0129043901273972   0.0019592888063319    4.69785715888317e-05 
TemperateDry   0.0169331145251354    -0.000618023319172079 -1.29139753386332e-05
TemperateHumid 0.00492497671018182   -0.000186607002330251 -3.78019162687024e-06
Desert         -0.0121364967928367   0.00195343872125609   4.97477845282344e-05 
Semiarid       0.0144307932832092    0.00263252686224052   5.48942435749697e-05 
TropicalDry    0.017760554147304     0.00144915302132625   -4.2918762612302e-06 
TropicalHumid  0.0077359118299421    8.76399276859888e-05  -2.90060543333465e-07
Unproductive   -0.000535493125241908 5.79745684262574e-05  1.05359387166769e-07 
