               d                  dd                  const               temp                 co2ppm               temp2                 co2temp2              error           
Tundra         -0.712817831462199 -0.185298627071417  -0.0272434386883854 0.00510790086768307  -2.3008085190453e-05 -0.000281434840098243 9.75376835310468e-07  13.6620040395331
Boreal         -0.923172497489414 -0.0555017730137293 -0.475266023834282  0.0878029424924519   0.00027980251162102  -0.00453600736123966  1.59819561626014e-06  86.2597742921236
DesertCold     -1.00317055549995  -0.0877196310458908 -0.291208103401009  0.0520930804652801   0.000275209984086404 -0.00261971976475773  -1.78167644903784e-07 47.3561590219186
TemperateDry   -1.42468066451016  -0.015194522579224  -0.140463956157315  0.0148507496175189   0.000507835793772632 -0.000894493430241581 -3.61298444864058e-07 83.8752799169405
TemperateHumid -1.34954991162584  -0.018001710060001  -0.283649115274289  0.0250418352581526   0.00128462594958735  -0.00105947697702684  -3.38541956238722e-06 197.394922812345
Desert         -1.43120622209511  -0.104673138222013  0.0228155173076901  -0.00728060098527873 8.9030319685882e-05  0.000307065377769092  2.65450807596744e-08  13.2162801983967
Semiarid       -1.33524065617233  0.0525074145163522  -0.358433985681419  0.0700674250989024   0.000194530120587668 -0.00376337009867626  6.40025223634178e-07  112.846418549065
TropicalDry    -1.1588499759033   0.00767716748714185 -0.124490395447753  0.0172305051357483   0.000788115102873038 -0.00128576685806769  -4.64981752976317e-07 2404.97711443752
TropicalHumid  -1.0639921134463   0.00308872287515732 0.0739819706123115  -0.00908904298755545 0.000902728250330385 -0.000132417897626722 -5.7207056649043e-07  5716.53563080403
Unproductive   18.8776616907235   0.178203444813066   -12.7671424289068   -0.533859294194415   0.00142226318871516  0.12716916526918      3.09957262256054e-07  285.671345171778
