               const              cveg                 
Tundra         0.10927560729012   0.0881190703359234   
Boreal         0.28971682302716   0.0258589115784371   
DesertCold     0.204135587616841  0.0202715780617333   
TemperateDry   0.268946396215344  0.0131154151777497   
TemperateHumid 0.416298998355534  0.00216460737318702  
Desert         0.0980899489560195 0.0290310958260032   
Semiarid       0.208237153907161  0.0225200587951975   
TropicalDry    0.631750843371315  0.0070629151615957   
TropicalHumid  0.930099275298337  -8.55772737167609e-05
Unproductive   0.0242231116314501 0.160704254674246    
