               harv               litt_atm             litt_tmp             litt_soil           soil_atm             soil_tmp             
Tundra         0.0300000000002759 1.02599543870528e-15 0.0111932498505734  0.00907445918501854 0.000213617679054658  7.48107321308901e-05
Boreal         0.0654498917682008 0.0104785288060225   0.00712922296696568 0.00734481377677927 0.000884095047559111  7.70952865238349e-05
DesertCold     0.0300000014092584 0.036103400436661    0.00539274643793717 0.00755223180802752 0.000799994721717865  7.72415820741008e-05
TemperateDry   0.560157061151465  0.117657061484555    0.00659588695367888 0.00939268921116778 0.00208679154925255   6.42075554436817e-05
TemperateHumid 0.601496409706016  0.108360313242455    0.00413717910337603 0.0078094125375646  0.00181832855580348   0.000104009662078285
Desert         0.390025616849097  0.0818350945595011   0.00701654222861264 0.00971367379011969 0.00248890396680727  -1.49924143882882e-05 
Semiarid       0.642692113387821  0.201363537402542    0.00470340924189492 0.0131025477969543  0.00344051628323844   3.82073616836899e-05
TropicalDry    0.469502214592787  0.174286458567625    0.00555614002681874 0.00884010516979941 0.00352549573134059   6.21751953202516e-06
TropicalHumid  0.368675121248973  0.123227474853428    0.0142942151294204  0.00862541250088863 0.00477290518042742  -0.000147694579869124 
Unproductive   0.0300000000002607 3.8083598888184e-16  0.00999731011033451 0.00433191015527172 0.00185188520320125  -0.000171113609366447 
