               const              tmp                  ppm                 
Tundra         -1.49215871988872  0.209662819751545    0.00214388828044542 
Boreal         -0.208450752821309 0.315597474844841    0.00781607013099744 
DesertCold     2.03945661644509   0.000167776938485912 0.00412398892299848 
TemperateDry   3.29370758258752   -0.103973582717401   0.00654349302143868 
TemperateHumid 7.61638132405425   -0.247844896084647   0.00881034463011172 
Desert         0.727148209083681  -0.0208767368449663  0.00267212106404588 
Semiarid       1.59957982266084   -0.0113651739577319  0.010314633404168   
TropicalDry    11.7331682495108   -0.300774652902243   0.027163793115426   
TropicalHumid  18.8922404314627   -0.168841787154895   0.0439481666302821  
Unproductive   -0.335529119819878 0.0618521713660538   0.000514096487618335
