               const               tmp                   ppm                 
Tundra         -0.15486337244156   0.0258456861554074    8.73898595498565e-05
Boreal         -0.0760138469173628 0.028758961328623     0.000356264286803036
DesertCold     -0.0371487103285914 0.0114023179870839    0.000452521002575116
TemperateDry   0.141566581889461   -0.000363119606468847 0.000685935438375255
TemperateHumid 0.327653942534698   -0.00936967177822278  0.000834859447480386
Desert         0.01365393815748    0.00244909523087303   0.000309938061797276
Semiarid       0.100967547469513   0.0179084557398776    0.000316046050151688
TropicalDry    0.781514145299818   0.0012291384745908    0.000224426010378306
TropicalHumid  0.994621160666798   0.00786044145692423   3.04767634422423e-05
Unproductive   -0.0897737477784144 0.0126832018652754    3.70092803612099e-05
