               const               tmp                  ppm                 
Tundra         -0.177160064603833  0.0296531241430683   0.000105582159042433
Boreal         -0.0829364251923466 0.0324250788528254   0.000417261143464994
DesertCold     -0.0399031111659668 0.0127803623293664   0.000528693527379441
TemperateDry   0.15930447954752    0.000212476362249771 0.000789185584644475
TemperateHumid 0.371773740117711   -0.0104034175152991  0.000951129964287047
Desert         0.0103133749760398  0.00359764206164542  0.000364203733725442
Semiarid       0.119330738783627   0.0208742368780907   0.000390129321137127
TropicalDry    0.918775480326395   0.000755543881958626 0.000276164791867044
TropicalHumid  1.16654431741032    0.00844751453503714  5.3617620637709e-05 
Unproductive   -0.103449237159709  0.0146314635699987   4.41198511652566e-05
