               litter             soil             
Boreal         0.807774747309997  9.68579119157162 
Desert         0.192899007789156  2.07344739035015 
DesertCold     0.63723766996814   7.28161827015344 
Semiarid       0.26397177165584   3.14573543780874 
TemperateDry   0.30141818933603   4.25263370677454 
TemperateHumid 0.411040030220621  5.16284572250566 
TropicalDry    0.581870893639611  5.48252046872439 
TropicalHumid  0.798853306933938  6.43663072829545 
Tundra         0.310305261274489  3.78424559600099 
Unproductive   0.0712123150188372 0.720399572782232
