               litt_atm             litt_tmp           litt_soil            soil_atm             soil_tmp              error           
Tundra         0                    0.0344810677891884 0.000737137939616653 0                    6.54331469452665e-07  7.56184338459711
Boreal         0                    0.0537964553938177 0.00236698745216966  0                    2.9301752674689e-06   17.3103168645515
DesertCold     0.0219742916257044   0.056620697758086  0.0100784711099271   0                    2.81814784110078e-05  15.537807092979 
TemperateDry   0.502455477281393    0.033384972715161  0.0138811900464099   0.000511084270503681 1.83538950658038e-05  8.79946884473194
TemperateHumid 0.62083895195058     0.0237405837873564 0.00434285403280045  9.0924400800889e-16  1.8143547274946e-05   24.7293423845011
Desert         0.245508998191292    0.0221063253874561 0.00715350925689539  3.85183612638757e-15 4.04395616671055e-05  17.6150706104619
Semiarid       0.465351793964738    0.022033479834594  0.000436131103746993 1.54245115922843e-15 -2.64805481073463e-06 57.9502054442953
TropicalDry    0.764152235163078    0.0158453172972265 0.00361789222486635  4.84010741100676e-17 2.34328068090308e-05  20.4268884541986
TropicalHumid  0.708038480770459    0.0197581002614577 0.00177615708813989  1.2924101449604e-16  1.16874548516e-05     38.6851324609414
Unproductive   1.61897129378885e-12 0.0210912817470019 0                    3.54593447381893e-15 3.46299614866322e-07  9.93448350239742
