               const                tmp                  ppm                 
Tundra         -0.0922731948560447  0.0108804389903905   0.00030023542414693 
Boreal         -0.221932592420475   0.0224057837472327   0.000612541147229675
DesertCold     -0.146256992769737   0.0101761127780565   0.000622442028570585
TemperateDry   -0.0749504617703111  0.00515805237822448  0.00091788011637197 
TemperateHumid -0.00330364422306833 0.00551133893931874  0.00100628388166372 
Desert         0.112955033570463    -0.00592199873623847 0.000315921900635487
Semiarid       -0.0399404842001886  0.00374019588083884  0.000466857000092324
TropicalDry    -0.0302335656903498  -0.00408490562892059 0.00105793977729734 
TropicalHumid  -0.0433960944599147  -0.00904655567502487 0.00123394903825835 
Unproductive   -0.0941836781921676  0.00983175255016517  0.000265023230141297
