               const                tmp                  ppm                 
Tundra         -0.00409974814730989 0.000766896995126675 3.60588130645938e-07
Boreal         -0.00425287411074609 0.00125491241106047  3.17083085555992e-06
DesertCold     0.00142481002391367  0.00136304546245721  -8.7257121439183e-06
TemperateDry   0.0310411434414577   0.000555906878873014 0.000195406867662408
TemperateHumid 0.0253330618893595   0.00172601683736536  0.000100392396974513
Desert         0.0353677359303553   0.000810294766716527 0.000171780996718416
Semiarid       0.0417846098995474   0.000635758419269536 0.000294978699292196
TropicalDry    0.00781252972131797  0.00152159812492925  0.000219905597359769
TropicalHumid  0.0390115850486079   0.00012653615393155  0.000280797718778696
Unproductive   -0.00383346351212588 0.000559498994119493 5.24873993978868e-06
