               const               tmp                  ppm                 
Tundra         -0.0894391218655132 0.0109547286992131   0.00028924312639886 
Boreal         -0.22424244422678   0.0227840244552211   0.000600426798869427
DesertCold     -0.151418566709146  0.010636048388533    0.000634527525787163
TemperateDry   -0.079748467251579  0.00613174602197408  0.000913334081959497
TemperateHumid -0.0137275003698983 0.00669233025904351  0.00099452418818116 
Desert         0.0993332330009103  -0.00498401085709762 0.000337974376255528
Semiarid       -0.0377182448611303 0.00355848810372956  0.000465879388781678
TropicalDry    -0.0300401788270982 -0.00405216586474678 0.00105642476919152 
TropicalHumid  -0.0410949581655004 -0.0090653076661559  0.00122948097019374 
Unproductive   -0.0972106582056401 0.0100647905158291   0.000268326340506379
