               const                 tmp                   ppm                  
Tundra         -0.0011936877653655   0.00012220248218258   9.5850362596098e-07  
Boreal         -0.00167041123879817  0.000206126458447979  1.69047328391951e-06 
DesertCold     -0.0180533992221448   0.00250614994342202   3.69029381719472e-05 
TemperateDry   0.0172605732103038    -0.000666775656205842 -1.45383957345755e-05
TemperateHumid 0.00331173312058351   -0.00011390322683659  -2.64126687474742e-06
Desert         -0.00751419785893636  0.00151301290566146   3.63853075467388e-05 
Semiarid       0.0390707906704527    -0.000791668539491061 -1.51157453060452e-05
TropicalDry    0.0106849879373589    0.00146121704082885   -9.71686806351039e-06
TropicalHumid  0.00203462080346149   0.000496062856127784  1.82852754602719e-06 
Unproductive   -0.000734495721631613 6.82422544107772e-05  3.26762128382168e-07 
