               d                  dd                  const               temp                 co2ppm                temp2                 co2temp2              error           
Tundra         -0.662109568137988 -0.249048037169103  -0.0121482313786663 0.00353381624203452  -4.42032920305879e-05 -0.00032794950096932  1.27432241023496e-06  18.2700694677862
Boreal         -0.876487674241043 -0.0629483655265498 -0.167490373354972  0.0246619868792251   0.00023153993079971   -0.00131584076441099  1.48481377820401e-06  88.987712370382 
DesertCold     -0.943019844720819 -0.0916197535476105 -0.430901820737445  0.0724762773507807   0.000410138651310407  -0.00360131219361569  -1.72714631191009e-07 85.1205104920598
TemperateDry   -1.29834569669959  -0.0457023312502274 0.471989593348444   -0.113549939158799   0.000690912014698594  0.00586793694762108   -2.92695701950384e-06 75.2393736357842
TemperateHumid -1.26973195919354  -0.0289759514594332 0.634541641139912   -0.155695375398634   0.00131360787706889   0.00784890671022973   -4.44179667809176e-06 190.278343673313
Desert         -1.32266976114354  -0.24295723139723   -0.0438260944678163 0.00722386356134685  5.8038748065476e-05   -0.000385775105103181 -3.65050670194414e-09 4.35549067522267
Semiarid       -1.06705144593542  0.0316735400324997  -0.121263291382434  0.0241863435946057   0.000105732717643672  -0.0014870807385782   5.98190055694713e-07  54.2480129369356
TropicalDry    -1.15848486645957  0.00777524436716976 0.0408275883318613  -0.0134507036041896  0.000769753080911115  7.00014012633015e-05  -2.81890407112296e-07 2062.42126759913
TropicalHumid  -1.01100380578434  0.00249169602765589 0.0138047658805211  0.000290841074848346 0.000881830448383743  -0.000472160710057928 -9.54983027406839e-07 5698.2582696202 
Unproductive   4.0681764158396    0.128933817643777   23.6688665424705    -0.876180506599597   -7.31237006000197e-05 0.0532576634197946    -2.99530214884424e-05 220.763578334784
