               const              cveg               
Tundra         0.139656146933945  0.0626510998062612 
Boreal         0.285474325945142  0.0209323480465878 
DesertCold     0.230660174455015  0.015840053644427  
TemperateDry   0.242267011605636  0.0121758809376054 
TemperateHumid 0.372339993534656  0.00499358730065758
Desert         0.0849857308772262 0.0267807473087313 
Semiarid       0.179634984472904  0.0151005979121314 
TropicalDry    0.584789767188799  0.00919165110210002
TropicalHumid  0.880924159973206  0.00182730780149754
Unproductive   0.0595804465368567 0.167563472798191  
