               harv               litt_atm             litt_tmp             litt_soil           soil_atm             soil_tmp             
Tundra         0.0300000000002315 2.08458253633281e-14 0.0108038963839274  0.0132310254539985  0.000144571815160454  0.000115305032084268
Boreal         0.0456747628762822 0.00437718847856088  0.00755788074532678 0.00773225537339065 0.000697942174588807  9.36086190741188e-05
DesertCold     0.208569357435339  0.0399480381678058   0.00400379919325764 0.00726104956252013 0.00080758982746689   8.05157036856752e-05
TemperateDry   0.528241957066935  0.0695965931328308   0.0103870108904376  0.0102964666328696  0.00291510792950803  -1.00709469012835e-05 
TemperateHumid 0.622810122101227  0.0809769170206735   0.00665710186463912 0.00829712943868329 0.00301973437168864  -2.66037256467499e-05 
Desert         0.384299148398886  0.00876959721395667  0.0132466240502311  0.0106391426893615  0.00296953021438332  -5.18417361830858e-05 
Semiarid       0.754064540353948  0.194686995673835    0.00622916138971586 0.0142706770990384  0.00358679974937573  -1.30937882374809e-05 
TropicalDry    0.487151362340551  0.155767723517347    0.00827597648367806 0.00949089467260499 0.0038504374988241   -3.28760931603149e-05 
TropicalHumid  0.371391148924159  0.0578117002532513   0.020619199210972   0.00803049584237223 0.0048905507396702   -0.000173309224152257 
Unproductive   0.03               0                    0.0110324019482774  0.0138113447577614  0.000662206090251679  4.15371040394258e-05
