               const             tmp                 ppm                 
Tundra         -1.74918163205836 0.218778894074219   0.00280376273178637 
Boreal         0.910392766480493 0.234547992589662   0.00601389173960524 
DesertCold     1.88877773646165  0.0302169818179871  0.0052862110456999  
TemperateDry   3.96979968592637  -0.207633886887719  0.00566443524460588 
TemperateHumid 8.00671111441182  -0.359429414400304  0.0087193719690663  
Desert         0.660677110100634 -0.01257300010331   0.00156765882070058 
Semiarid       0.728352576759424 -0.0676293715972747 0.0100288290136657  
TropicalDry    11.4305071853524  -0.44742365646547   0.0280832672908793  
TropicalHumid  17.8742274650573  -0.26280514863727   0.0466612808456159  
Unproductive   -0.76149155270843 0.0890717829295861  0.000750421393988301
