               const               tmp                  ppm                 
Tundra         -0.155472248730043  0.0246670179348672   0.00011824703982526 
Boreal         -0.0992364937884096 0.0284567384385663   0.000340165867107478
DesertCold     -0.0414052109175117 0.0139687177320666   0.000444471623082249
TemperateDry   0.134630831684229   -0.00430135317038418 0.00065057572227671 
TemperateHumid 0.26362710428303    -0.00797951686968119 0.000846075101775792
Desert         0.00822590679829227 0.00114423988884228  0.000267936821156019
Semiarid       0.117746212174719   0.00687463829739558  0.000305582131615778
TropicalDry    0.706501885070261   0.00327899996148754  0.000323136887309715
TropicalHumid  0.992957532210302   0.00738156208848406  0.000140134063878635
Unproductive   -0.116172665019728  0.015985681203082    5.17422009038812e-05
