               const               tmp                  ppm                 
Tundra         -0.176246469457124  0.0281621564496595   0.000140117797971019
Boreal         -0.109535751955515  0.0320902733899439   0.00039667137385552 
DesertCold     -0.0440633894953483 0.0156890769956363   0.000517138932732133
TemperateDry   0.148169091010367   -0.00409770486980925 0.000749914099110617
TemperateHumid 0.295698514574615   -0.0085467082441165  0.000964502555641951
Desert         0.00419080638778339 0.00192584280140652  0.000319135414268876
Semiarid       0.137444240470037   0.00789342498173945  0.000382367720211177
TropicalDry    0.826713953045306   0.00370298439997817  0.000388865852187351
TropicalHumid  1.17090630197566    0.00707149851524308  0.000192992958062189
Unproductive   -0.133445018197024  0.0184196012538101   6.10538073575586e-05
