               litter             soil            
Boreal         0.777382518646848  9.64627743263956
Desert         0.178463897878897  1.86472452856899
DesertCold     0.692021025831623  8.03849095698281
Semiarid       0.23478537460874   2.64356927304079
TemperateDry   0.291632609341455  3.91911834563363
TemperateHumid 0.385817154429468  4.85868071423534
TropicalDry    0.543556398163406  5.44133816557975
TropicalHumid  0.693116823801734  6.48107259427551
Tundra         0.345368245561953  4.44093586761703
Unproductive   0.0923738655860084 1.34199188232342
